Status,Name,Altitude [m],Summit Latitude,Summit Longitude,Season,Type,Grade,Distance [km],Duration [h],Elevation Gain [m],GPX File,Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
to do,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
,Canigou,2784,42.5189047,2.4565596,,,,,,,,No Project
